Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY18-19,19904,Glenferrie,-37.82146682,145.0364388,2729100,9800,10450,7350,2950,2200,200,1750,2600,4850,1000
FY18-19,19905,Hawthorn,-37.82182601,145.0228987,709100,2500,2600,2050,950,700,100,1050,450,900,100
FY18-19,19906,Burnley,-37.82756022,145.0075551,865300,2650,2700,2550,2100,1400,100,1100,450,900,150
FY18-19,19907,East Richmond,-37.82639995,144.9970657,666900,2500,2600,2200,500,300,50,400,300,1650,200
FY18-19,19909,Heyington,-37.83467244,145.0226353,218650,800,900,350,200,150,50,250,150,500,50
FY18-19,19910,Kooyong,-37.83992894,145.0335516,344750,1250,1250,1150,400,300,50,400,300,450,50
FY18-19,19911,Tooronga,-37.84936553,145.0417337,580300,2050,2100,1850,650,500,100,850,350,750,100
FY18-19,19912,Gardiner,-37.85327908,145.0516547,491000,1650,1650,1550,800,600,100,900,300,350,50
FY18-19,19913,Springvale,-37.94950878,145.1534518,1509450,4800,5000,4000,3150,2450,400,1600,1400,1250,300
FY18-19,19914,Westall,-37.93849121,145.1388326,894250,2800,2900,2400,1750,1700,300,1200,650,650,100
FY18-19,19915,Clayton,-37.92468255,145.1205344,1612700,5250,5650,3750,3100,2400,350,1700,1550,1550,450
FY18-19,19916,Huntingdale,-37.91101734,145.1023643,1592900,5800,6350,3550,1500,1050,350,1800,1350,2400,450
FY18-19,19917,Oakleigh,-37.90037214,145.0883079,1733100,5750,6200,4050,3100,2250,400,2100,1400,1850,400
FY18-19,19919,Murrumbeena,-37.89019832,145.0673749,779450,2650,2900,1850,1200,850,250,1600,600,350,100
FY18-19,19920,Carnegie,-37.88624148,145.0585751,991250,3300,3550,2200,1800,1350,200,1700,850,550,300
FY18-19,19921,Werribee,-37.89937805,144.661118,1211200,4150,4250,3800,1750,1200,800,2000,850,550,100
FY18-19,19922,Hoppers Crossing,-37.88327618,144.7009549,1246950,4400,4550,3750,1600,1100,750,2150,850,700,100
FY18-19,19923,Laverton,-37.86369404,144.7726167,1196550,4200,4300,3800,1550,1100,550,2400,800,500,100
FY18-19,19924,Aircraft,-37.86660595,144.7608094,303150,1050,1050,950,450,350,200,500,150,150,50
FY18-19,19925,Westona,-37.86516348,144.8134936,240150,850,900,550,350,250,100,400,150,200,50
FY18-19,19926,Altona,-37.8671476,144.8296447,302850,950,1000,850,600,450,100,450,200,150,50
FY18-19,19927,Seaholme,-37.86784231,144.8409577,106850,350,350,250,200,150,50,200,50,50,50
FY18-19,19928,Westgarth,-37.7806207,144.9992332,298000,1000,1000,850,550,400,50,550,200,150,50
FY18-19,19929,Dennis,-37.77918729,145.0082416,389350,1350,1400,1150,550,400,100,900,200,150,50
FY18-19,19930,Fairfield,-37.77917126,145.0169053,616150,2050,2150,1800,1050,750,150,1150,400,350,100
FY18-19,19931,Alphington,-37.77839363,145.0312549,296900,1050,1100,800,400,300,50,600,200,200,50
FY18-19,19932,Darebin,-37.77496341,145.038476,150400,550,550,400,200,150,50,300,100,100,50
FY18-19,19933,Ivanhoe,-37.76889674,145.0454252,781000,2700,2850,2200,1150,750,250,1450,450,600,100
FY18-19,19934,Eaglemont,-37.76358553,145.0539427,164500,550,600,500,250,150,50,350,100,50,50
FY18-19,19935,Heidelberg,-37.75707293,145.0606855,791600,2750,2900,2200,1050,800,200,900,600,1100,150
FY18-19,19936,Rosanna,-37.7428786,145.0661403,627150,2150,2250,1850,900,650,300,1300,350,200,50
FY18-19,19937,Moorabbin,-37.93435329,145.0367383,717700,2350,2400,2100,1350,950,150,850,550,700,150
FY18-19,19938,Patterson,-37.92514919,145.03547,354250,1200,1350,750,550,400,100,700,250,250,50
